"order","period","degree_tr","degree_en","field_tr","field_en","institution","unit_en","unit_tr","thesis","advisor","note_tr","note_en"
1,"2024","Doktora","PhD","Rehberlik ve Psikolojik Danışmanlık","Guidance and Psychological Counseling","Middle East Technical University","Social Sciences Institute","Sosyal Bilimler Enstitüsü","Poverty-sensitive school counseling: A multiple case study on understanding poverty in school settings","Prof. Dr. Özgür Erdur Baker","Eğitim dili: İngilizce","Language of instruction: English"
2,"2018","Yüksek Lisans","MA","Rehberlik ve Psikolojik Danışmanlık","Guidance and Psychological Counseling","Burdur Mehmet Akif Ersoy University","Educational Sciences Institute","Eğitim Bilimleri Enstitüsü","The role of childhood trauma and automatic thoughts in university students’ cognitive emotion regulation","Prof. Dr. Özlem Tagay","Tezli yüksek lisans","Thesis-based master's programme"
3,"2016","Lisans","BA","Rehberlik ve Psikolojik Danışmanlık","Guidance and Psychological Counseling","Necmettin Erbakan University","Ahmet Keleşoğlu Faculty of Education","Ahmet Keleşoğlu Eğitim Fakültesi","","","",""
4,"2011–2013","Lisans – Kısmi Öğrenim","BA – Partial Study","Rehberlik ve Psikolojik Danışmanlık","Guidance and Psychological Counseling","Yeditepe University","Faculty of Education","Eğitim Fakültesi","","","İngilizce program · %50 burs","English programme · 50% scholarship"
