"order","code","short_name","title","groups","period"
1,"CA23129","PEACE","Peace Research Community Europe","WG3: Local Peace","2024–present"
2,"CA24113","Go2CHANGE","Global Network on Cultural Heritage Conservation Under Climate Change","WG1: Climate Risk Assessment; WG4: Community Involvement and Capacity Building; WG5: Urban Living Lab Heritage Cities","2024–present"
3,"CA24170","SMART-RURAL","Building Resilient Rural Communities through Synergy of Traditional Knowledge and Technological Innovation","WG1: Traditional Knowledge Systems and Rural Resilience; WG3: Integrated Resilience Assessment and Monitoring; WG4: Knowledge Dissemination and Capacity Building","2024–present"
