"order","label_tr","label_en"
1,"İklim değişikliği ve ruh sağlığı","Climate change and mental health"
2,"Çevre yanlısı davranışlar","Pro-environmental behaviour"
3,"Siber zorbalık ve siber mağduriyet","Cyberbullying and cybervictimisation"
4,"Okul psikolojik danışmanlığı ve yoksulluk duyarlı uygulamalar","School counselling and poverty-sensitive practices"
5,"Travmaya duyarlı eğitim","Trauma-informed education"
6,"Bilişsel duygu düzenleme","Cognitive emotion regulation"
7,"Öğretmen mesleki gelişimi ve psikososyal destek","Teacher professional development and psychosocial support"
8,"Spor psikolojisi ve psikolojik performans danışmanlığı","Sport psychology and psychological performance consulting"
