"order","period_tr","period_en","position_tr","position_en","institution","unit_tr","unit_en"
1,"Nisan 2023–günümüz","April 2023–present","Araştırma Görevlisi","Research Assistant","Zonguldak Bülent Ecevit University","Ereğli Eğitim Fakültesi","Ereğli Faculty of Education"
2,"Mayıs 2019–Nisan 2023","May 2019–April 2023","Araştırma Görevlisi","Research Assistant","Middle East Technical University","Eğitim Fakültesi","Faculty of Education"
3,"Şubat 2017–2019","February 2017–2019","Araştırma Görevlisi","Research Assistant","Bülent Ecevit University","Ereğli Eğitim Fakültesi","Ereğli Faculty of Education"
